"","id","age","gender","education","employment","cy_sesh_score","cy_sesh_policies1","cy_sesh_deletion3","cy_sesh_deletion1","cy_sesh_communication3","cy_sesh_collection1","cy_sesh_understanding1","cy_sesh_connecting1","cy_sesh_patterns4","cy_sesh_patterns5","cy_sesh_help1","cy_sesh_purchase3","cy_sesh_threats5","cy_sesh_updates3","rse_score","rse1","rse2","rse3","rse4","rse5","rse6","rse7","rse8","rse9","rse10","lotr_score","lot1","lot2","lot3","lot4","lot5","lot6","lot7","lot8","lot9","lot10","seis_score","seis1","seis2","seis3","seis4","seis5","seis6","seis7","seis8","seis9","seis10","seis11","attentioncheck2","attentioncheck3","attentioncheck4"
"245",263,"26","Female","Secondary School","Employed Part-Time",5.08333333333333,5,7,6,3,5,7,6,3,4,7,4,4,"Highly certain can do",13,1,1,1,1,1,1,2,2,2,1,0,0,0,0,0,2,2,0,0,0,0,4,3,3,4,3,6,4,5,4,5,4,3,7,4,1
"246",264,"18","Male","Secondary School","Student",4.33333333333333,6,5,6,1,3,2,6,4,5,4,3,7,"5",15,1,1,3,1,2,1,2,1,1,2,6,0,1,1,0,4,4,2,1,2,1,4.81818181818182,3,6,5,5,6,7,4,5,2,6,4,7,4,1
"247",265,"43","Female","Secondary School","Employed Full-Time",4.58333333333333,4,5,5,4,4,5,4,3,5,6,5,5,"6",20,2,2,2,2,2,2,3,1,2,2,7,1,1,1,2,2,3,1,1,1,1,5.81818181818182,5,5,6,6,7,6,6,5,6,6,6,7,4,1
"248",266,"33","Female","Secondary School","Employed Part-Time",4.66666666666667,5,5,5,3,6,4,5,4,3,6,5,5,"Highly certain can do",31,3,3,3,4,3,3,3,3,3,3,17,3,2,2,3,3,3,3,3,3,3,6.27272727272727,6,6,6,6,7,6,6,7,7,6,6,7,4,1
"249",267,"21","Female","Bachelor's Degree","Student",3.91666666666667,3,5,3,3,5,5,4,4,4,5,3,3,"5",23,2,2,3,3,2,2,2,2,2,3,7,1,2,1,1,4,1,1,1,2,1,3.36363636363636,3,3,4,3,4,3,3,4,3,5,2,7,4,1
"250",268,"29","Male","Bachelor's Degree","Employed Full-Time",3.91666666666667,4,3,4,3,2,4,3,4,5,4,5,6,"6",29,3,3,3,3,3,2,3,3,3,3,11,1,2,2,3,2,3,2,1,2,1,5.72727272727273,6,6,6,6,6,5,4,5,6,7,6,7,4,1
"251",269,"46","Female","Ph.D. or higher","Employed Full-Time",4.83333333333333,5,5,6,4,4,5,5,4,5,5,4,6,"6",28,3,2,3,3,3,2,3,3,3,3,11,1,2,1,2,2,3,2,2,2,3,5.63636363636364,5,5,6,6,6,6,6,6,6,5,5,7,4,1
"252",270,"32","Female","Master's Degree","Employed Full-Time",3.83333333333333,2,7,7,4,6,7,3,1,3,3,2,1,"Highly certain can do",30,3,2,3,3,4,2,3,3,4,3,18,3,2,3,4,4,4,2,0,3,3,5.45454545454545,2,6,4,6,7,7,6,6,6,7,3,7,4,1
"253",271,"33","Female","Bachelor's Degree","Other:",4.66666666666667,4,5,4,4,6,6,5,5,2,5,6,4,"6",29,3,2,3,4,3,2,3,2,4,3,14,3,1,2,3,2,4,2,1,1,3,5.81818181818182,6,5,6,6,6,6,6,5,6,6,6,7,4,1
"254",272,"63","Female","Secondary School","Retired",4.66666666666667,5,3,6,5,5,5,5,5,4,4,4,5,"6",28,3,3,3,3,3,2,3,2,3,3,14,2,3,2,3,3,3,2,1,2,3,5.54545454545455,5,5,5,6,6,6,6,5,6,6,5,7,4,1
"255",273,"27","Female","Bachelor's Degree","Employed Full-Time",4.33333333333333,5,5,5,5,5,3,4,3,3,4,5,5,"5",26,2,2,3,3,3,2,3,2,3,3,9,1,1,1,2,3,3,2,0,1,2,6,6,4,6,6,6,7,7,6,6,6,6,7,4,1
"256",274,"23","Female","Bachelor's Degree","Employed Full-Time",5.25,4,7,4,7,7,4,4,4,7,4,7,4,"Highly certain can do",26,3,2,3,3,2,2,3,3,3,2,13,1,3,1,2,3,1,3,1,3,3,6,5,4,7,7,7,6,6,5,7,7,5,7,4,1
"257",275,"28","Male","Secondary School","Employed Full-Time",4.66666666666667,4,7,7,3,5,3,5,6,3,4,4,5,"Moderately certain can do",28,2,2,3,3,3,3,3,3,3,3,10,3,4,1,2,4,0,1,3,1,2,4.36363636363636,2,5,6,5,5,5,4,5,3,5,3,7,4,1
"258",276,"42","Male","Master's Degree","Other:",4.33333333333333,3,5,5,4,4,5,4,3,4,6,4,5,"6",21,2,2,3,2,2,2,2,2,2,2,10,1,2,1,1,2,3,3,2,3,1,5.72727272727273,5,6,6,6,6,6,6,6,5,5,6,7,4,1
"259",277,"41","Female","Bachelor's Degree","Employed Part-Time",2,2,2,3,1,2,1,2,3,3,1,3,1,"Moderately certain can do",14,1,1,2,1,1,1,3,2,1,1,0,0,0,0,0,2,3,0,0,0,0,3.09090909090909,1,3,4,3,5,3,3,2,3,2,5,7,4,1
"260",278,"22","Female","Secondary School","Student",6.08333333333333,6,6,6,7,6,7,5,5,5,7,6,7,"6",32,4,3,4,3,4,2,4,1,4,3,11,2,3,2,3,4,3,1,3,1,2,5.09090909090909,1,2,6,6,6,6,6,6,6,6,5,7,4,1
"261",279,"37","Male","Master's Degree","Employed Full-Time",3.08333333333333,4,2,2,2,5,2,2,3,3,2,4,6,"3",28,3,2,3,3,3,2,3,3,3,3,14,1,2,3,1,3,4,3,1,3,3,5.27272727272727,5,3,6,5,7,6,3,5,6,6,6,7,4,1
"262",282,"30","Female","Bachelor's Degree","Employed Full-Time",3.33333333333333,3,4,3,3,3,3,3,4,3,4,3,4,"Moderately certain can do",19,2,1,2,2,3,1,2,2,2,2,7,1,3,1,1,2,2,1,1,2,1,3.09090909090909,2,3,2,3,4,3,3,3,3,4,4,7,4,1
"263",283,"50","Male","Bachelor's Degree","Employed Full-Time",3,2,3,5,3,2,2,3,2,3,3,5,3,"3",34,3,3,4,4,1,4,4,3,4,4,20,3,4,3,3,3,3,3,3,4,4,2.72727272727273,2,2,2,3,5,2,2,3,4,3,2,7,4,1
"264",284,"60","Male","Bachelor's Degree","Employed Part-Time",7,7,7,7,7,7,7,7,7,7,7,7,7,"Highly certain can do",40,4,4,4,4,4,4,4,4,4,4,22,4,4,2,4,4,2,4,2,4,4,6.18181818181818,1,7,7,7,7,4,7,7,7,7,7,7,4,1
"265",285,"43","Female","Bachelor's Degree","Employed Part-Time",2.75,1,4,4,1,1,4,1,1,1,7,4,4,"Moderately certain can do",22,2,2,3,3,3,2,2,1,2,2,7,1,1,1,2,3,3,1,2,1,1,3.45454545454545,3,2,4,3,4,5,4,3,4,3,3,7,4,1
"266",286,"28","Female","Secondary School","Employed Full-Time",3.75,3,2,3,4,5,6,3,1,2,3,6,7,"Moderately certain can do",18,2,1,3,2,2,1,2,1,2,2,6,2,1,1,1,3,2,0,3,1,1,2,2,1,1,2,4,2,1,1,3,4,1,7,4,1
"267",287,"30","Female","Secondary School","Employed Full-Time",2.58333333333333,3,3,2,1,2,4,4,4,3,3,1,1,"5",26,3,2,3,2,3,2,3,2,3,3,13,1,2,3,2,4,3,2,2,2,3,2.90909090909091,1,2,3,3,5,4,2,4,3,4,1,7,4,1
"268",288,"51","Female","Secondary School","Other:",5.16666666666667,4,5,7,3,5,4,6,5,4,7,5,7,"5",19,2,2,3,3,1,2,2,1,2,1,11,1,4,2,1,2,3,2,0,2,3,4.09090909090909,3,4,5,5,4,5,4,3,4,5,3,7,4,1
"269",289,"52","Female","Secondary School","Employed Full-Time",2.75,3,2,2,2,4,5,3,2,2,3,3,2,"Moderately certain can do",30,3,3,3,3,3,3,3,3,3,3,18,3,3,3,3,3,3,3,1,3,3,3.81818181818182,3,3,3,5,6,3,3,5,3,5,3,7,4,1
"270",290,"46","Female","Bachelor's Degree","Employed Part-Time",2.16666666666667,1,4,4,1,1,4,1,1,1,4,3,1,"3",30,3,3,3,3,3,3,3,3,3,3,20,4,3,4,3,4,1,4,3,4,1,2.45454545454545,1,2,2,2,4,2,2,2,6,2,2,7,4,1
"271",291,"39","Female","Master's Degree","Employed Part-Time",3.25,4,3,3,2,3,5,3,3,2,4,5,2,"2",28,3,3,3,3,3,2,3,2,3,3,10,1,3,2,2,3,3,2,3,1,2,4.36363636363636,2,3,4,5,6,3,3,5,7,5,5,7,4,1
"272",292,"52","Male","Bachelor's Degree","Employed Full-Time",3.75,3,4,4,4,4,5,3,5,3,2,5,3,"6",24,3,2,3,2,3,2,3,2,2,2,9,2,2,2,1,3,4,1,1,1,2,5.36363636363636,6,5,6,5,5,7,6,5,4,3,7,7,4,1
"273",293,"43","Female","Bachelor's Degree","Employed Part-Time",5.08333333333333,4,5,7,5,5,5,5,4,4,7,5,5,"6",38,4,4,4,3,4,3,4,4,4,4,19,3,3,3,4,4,4,3,3,3,3,5,3,5,5,5,5,3,5,5,6,7,6,7,4,1
"274",294,"43","Male","Bachelor's Degree","Employed Full-Time",5.5,4,7,7,5,6,7,5,4,4,5,5,7,"6",32,3,3,4,3,4,3,4,2,3,3,14,2,2,2,3,3,3,2,1,2,3,6,4,4,7,6,7,7,5,7,6,7,6,7,4,1
"275",295,"49","Female","Secondary School","Other:",2.25,4,2,2,2,2,3,1,2,2,2,1,4,"2",17,1,1,3,3,2,1,2,1,2,1,5,1,1,1,1,0,0,1,1,1,0,2.45454545454545,1,1,3,3,2,1,2,5,3,5,1,7,4,1
"276",296,"29","Male","Master's Degree","Employed Full-Time",4,6,4,4,3,3,6,2,5,2,4,5,4,"5",36,4,4,4,4,4,3,4,2,4,3,15,3,1,2,2,1,4,3,1,2,3,6.63636363636364,6,6,7,7,7,6,7,7,6,7,7,7,4,1
"277",297,"34","Female","Secondary School","Employed Full-Time",4.83333333333333,5,4,4,4,6,7,4,5,4,4,4,7,"Highly certain can do",31,3,3,3,3,3,3,3,3,4,3,17,2,2,3,3,3,3,3,3,3,3,4.54545454545455,4,4,4,5,5,4,4,5,4,6,5,7,4,1
"278",298,"35","Female","Secondary School","Employed Part-Time",4.58333333333333,5,6,3,4,4,5,5,4,4,4,7,4,"Highly certain can do",31,3,3,3,4,3,3,3,2,3,4,18,3,2,3,3,4,3,2,4,3,4,5.72727272727273,6,6,6,7,7,5,6,5,5,6,4,7,4,1
"279",299,"24","Female","Master's Degree","Employed Full-Time",5.5,5,7,4,5,7,6,5,6,7,4,6,4,"Moderately certain can do",34,4,4,4,4,4,1,4,2,3,4,12,2,1,1,4,4,4,1,3,1,3,5.27272727272727,3,3,6,5,7,7,5,5,5,7,5,7,4,1
"280",300,"19","Female","Secondary School","Student",3.08333333333333,3,3,2,4,4,3,3,5,2,2,3,3,"3",27,3,3,3,3,2,2,3,2,3,3,13,2,2,2,2,3,4,3,1,2,2,2.63636363636364,2,2,4,2,5,2,3,2,2,3,2,7,4,1
"281",301,"31","Female","Bachelor's Degree","Other:",4.16666666666667,4,5,4,5,4,4,4,3,4,5,5,3,"5",32,3,4,3,3,3,3,3,3,4,3,17,3,3,2,3,3,1,3,3,3,3,5.09090909090909,5,3,5,5,6,5,5,5,5,6,6,7,4,1
"282",302,"35","Female","Secondary School","Other:",4.75,5,5,4,3,5,4,5,4,4,7,5,6,"5",32,3,3,4,4,4,2,3,2,4,3,16,2,3,2,3,4,3,3,3,3,3,5,4,4,5,4,6,5,5,6,5,6,5,7,4,1
"283",303,"21","Female","Bachelor's Degree","Seeking opportunities",5.58333333333333,6,7,7,2,7,7,5,3,4,6,7,6,"Highly certain can do",24,1,2,3,3,3,2,3,2,2,3,13,1,2,1,3,3,3,3,3,3,2,5,5,3,3,6,7,3,6,6,6,7,3,7,4,1
"284",304,"56","Female","Secondary School","Seeking opportunities",3.41666666666667,1,7,7,1,1,1,1,7,4,3,1,7,"Moderately certain can do",13,1,1,2,3,1,1,1,1,1,1,5,0,0,0,3,1,2,0,0,1,1,2.81818181818182,1,2,5,2,6,5,2,2,2,2,2,7,4,1
"285",305,"28","Male","Bachelor's Degree","Employed Full-Time",4.33333333333333,4,5,4,2,3,7,3,5,3,4,5,7,"Highly certain can do",22,2,2,3,3,2,2,2,2,2,2,10,1,4,3,2,3,3,1,2,1,2,5.90909090909091,5,5,6,6,7,7,5,5,7,6,6,7,4,1
"286",306,"36","Male","Bachelor's Degree","Employed Full-Time",3.25,3,3,5,3,4,4,3,2,2,2,4,4,"5",28,3,2,3,3,4,3,3,2,3,2,12,1,1,3,3,4,4,2,1,2,1,5.81818181818182,6,7,6,6,6,7,5,5,5,6,5,7,4,1
"287",307,"50","Male","Bachelor's Degree","Employed Full-Time",5.75,4,7,6,4,7,6,6,6,6,4,6,7,"Highly certain can do",10,1,1,1,1,1,1,1,1,1,1,4,0,0,0,0,0,2,0,0,4,0,6.90909090909091,7,7,6,7,7,7,7,7,7,7,7,7,4,1
"288",308,"19","Male","Secondary School","Student",4.58333333333333,7,7,6,2,5,6,3,2,3,7,4,3,"Highly certain can do",31,3,4,3,3,3,3,3,3,3,3,16,2,4,3,3,4,2,3,3,3,2,5.18181818181818,3,4,6,5,7,7,6,2,5,6,6,7,4,1
"289",309,"29","Male","Master's Degree","Employed Full-Time",3.41666666666667,3,2,4,6,5,3,4,3,3,4,2,2,"3",27,3,2,3,3,3,2,3,2,3,3,6,1,0,1,1,3,4,1,3,1,1,5.45454545454545,6,5,4,5,6,5,6,5,6,6,6,7,4,1
"290",310,"37","Male","Bachelor's Degree","Employed Full-Time",5.91666666666667,6,5,7,7,7,7,4,6,4,5,6,7,"Highly certain can do",28,3,3,3,3,3,3,3,2,2,3,14,3,3,3,3,3,3,1,3,1,3,5.81818181818182,6,6,6,6,6,6,6,4,6,6,6,7,4,1
"291",311,"29","Female","Bachelor's Degree","Employed Full-Time",5.41666666666667,5,7,7,4,7,4,7,4,7,1,5,7,"Highly certain can do",26,3,1,4,4,1,2,4,2,2,3,15,4,4,0,4,2,4,2,2,1,4,6.63636363636364,7,6,7,7,6,7,6,7,6,7,7,7,4,1
"292",312,"20","Male","Secondary School","Other:",5.08333333333333,5,4,6,3,5,7,3,7,6,4,7,4,"Moderately certain can do",26,1,1,4,4,3,2,3,2,4,2,9,0,1,1,4,2,4,0,0,0,4,4.45454545454545,2,3,6,6,7,7,4,2,4,3,5,7,4,1
"293",313,"34","Female","Secondary School","Employed Part-Time",4.58333333333333,5,4,5,3,4,6,4,4,3,5,5,7,"Moderately certain can do",35,4,3,3,3,4,4,4,3,4,3,20,4,3,4,4,4,3,0,2,4,4,3.72727272727273,3,3,1,3,6,3,5,3,3,6,5,7,4,1
"294",314,"20","Male","Secondary School","Student",4.5,4,6,3,5,3,5,5,3,5,5,5,5,"Highly certain can do",26,3,2,3,2,3,2,3,2,3,3,10,2,0,1,1,3,3,2,0,3,1,4.90909090909091,2,4,6,4,7,3,5,6,6,6,5,7,4,1
"295",315,"56","Male","Secondary School","Employed Part-Time",2.5,2,2,2,1,1,3,2,3,2,5,5,2,"2",28,3,2,3,4,3,2,3,2,3,3,8,1,1,2,2,2,4,1,1,1,1,3.09090909090909,1,1,6,3,5,1,5,3,2,5,2,7,4,1
"296",316,"74","Female","Secondary School","Retired",4.25,4,5,5,3,5,3,4,3,5,6,3,5,"Highly certain can do",36,3,4,3,3,4,4,4,4,4,3,17,3,1,3,3,3,4,3,2,2,3,5.18181818181818,6,7,5,5,7,4,5,3,5,5,5,7,4,1
"297",317,"24","Female","Bachelor's Degree","Employed Full-Time",4.33333333333333,4,5,5,3,3,6,2,3,4,5,7,5,"Highly certain can do",24,2,1,3,3,3,2,3,2,3,2,12,0,1,1,4,1,4,1,1,2,4,4.54545454545455,1,2,5,5,6,4,4,6,6,6,5,7,4,1
"298",318,"33","Male","Bachelor's Degree","Employed Full-Time",3.16666666666667,5,2,2,2,2,4,3,3,3,3,6,3,"5",29,3,3,3,3,3,3,3,2,3,3,17,3,3,3,3,3,3,3,3,3,2,4.90909090909091,4,3,5,5,6,5,4,5,5,5,7,7,4,1
"299",319,"57","Male","Secondary School","Employed Full-Time",4.33333333333333,4,6,6,3,5,6,2,2,3,2,6,7,"Highly certain can do",28,3,3,3,3,3,2,3,2,3,3,16,2,3,4,3,2,2,3,3,1,3,5.90909090909091,5,5,7,6,7,6,6,7,5,4,7,7,4,1
"300",321,"29","Female","Secondary School","Employed Full-Time",4.83333333333333,5,5,4,6,5,5,4,4,3,7,5,5,"Highly certain can do",27,3,2,3,3,3,2,3,1,4,3,14,1,3,2,2,3,3,3,1,3,3,5.90909090909091,6,6,6,5,7,6,6,5,6,6,6,7,4,1
"301",322,"34","Female","Bachelor's Degree","Employed Full-Time",2.33333333333333,4,1,1,1,1,2,4,1,1,4,1,7,"Highly certain cannot do at all",29,4,2,4,3,3,3,3,1,3,3,14,2,2,2,3,3,1,3,3,3,1,4.63636363636364,1,3,4,6,6,6,4,4,6,6,5,7,4,1
"302",323,"23","Female","Bachelor's Degree","Employed Part-Time",3.08333333333333,4,5,3,2,3,3,3,3,3,3,2,3,"5",28,3,2,3,3,3,2,3,3,3,3,11,2,3,2,2,4,3,2,1,2,1,4,2,3,4,3,6,4,3,4,6,5,4,7,4,1
"303",324,"47","Female","Secondary School","Employed Part-Time",4.5,4,5,5,3,5,5,4,4,4,4,5,6,"Moderately certain can do",24,3,2,3,3,3,2,2,2,2,2,8,1,3,0,3,3,2,1,1,1,2,4.63636363636364,5,5,5,5,5,5,4,4,5,4,4,7,4,1
"304",325,"38","Male","Secondary School","Employed Full-Time",4.83333333333333,4,5,5,5,6,5,4,4,4,6,5,5,"6",30,3,3,3,3,3,3,3,3,3,3,12,0,1,3,2,0,3,2,2,2,3,5.45454545454545,4,5,5,6,6,6,4,5,6,6,7,7,4,1
"305",326,"59","Male","Bachelor's Degree","Retired",5.91666666666667,6,7,6,5,6,6,4,6,6,7,6,6,"Highly certain can do",21,2,1,3,3,2,1,3,2,2,2,11,2,3,1,2,3,3,2,2,1,3,5.81818181818182,5,5,6,6,6,6,6,6,6,6,6,7,4,1
"306",327,"36","Female","Secondary School","Employed Full-Time",4.41666666666667,5,5,6,5,5,4,4,4,4,3,4,4,"5",39,4,4,4,4,4,4,3,4,4,4,22,3,3,3,4,4,4,4,2,4,4,6.27272727272727,7,7,6,6,7,6,7,5,7,5,6,7,4,1
"307",328,"51","Female","Primary School","Employed Full-Time",5.5,6,6,7,4,7,6,7,4,4,4,7,4,"6",31,3,3,3,3,3,4,3,2,4,3,19,3,3,2,4,2,2,3,3,3,4,5.72727272727273,5,5,6,6,6,6,7,6,6,6,4,7,4,1
"308",329,"38","Female","Bachelor's Degree","Employed Part-Time",4.25,5,5,4,2,5,2,4,6,3,4,6,5,"6",15,1,1,2,2,2,1,2,1,2,1,14,2,0,3,2,2,3,3,0,2,2,4.54545454545455,3,4,5,5,6,6,5,3,5,5,3,7,4,1
"309",330,"34","Male","Bachelor's Degree","Employed Full-Time",3,2,4,1,7,2,4,1,1,1,2,4,7,"6",31,4,4,3,1,3,4,4,4,1,3,13,3,3,1,1,3,2,4,2,2,2,6.36363636363636,7,7,6,7,7,6,6,6,5,6,7,7,4,1
"310",331,"54","Female","Secondary School","Employed Full-Time",3,5,2,3,2,3,2,3,2,3,5,4,2,"5",31,4,3,3,3,3,3,3,2,4,3,17,3,3,3,3,2,2,3,3,2,3,1.81818181818182,1,2,2,2,5,1,1,1,2,2,1,7,4,1
"311",332,"43","Male","Master's Degree","Employed Full-Time",2.91666666666667,6,2,4,3,2,3,3,2,2,4,3,1,"Moderately certain can do",21,2,2,2,2,2,2,3,2,2,2,6,1,3,1,1,3,2,1,1,1,1,4.18181818181818,2,1,5,5,5,5,6,3,4,5,5,7,4,1
"312",333,"57","Female","Secondary School","Employed Part-Time",4.08333333333333,4,3,5,5,4,4,3,4,4,5,4,4,"5",30,3,3,4,3,3,3,3,2,3,3,17,3,1,3,3,3,3,3,1,2,3,4.18181818181818,3,3,4,5,5,5,4,5,4,5,3,7,4,1
"313",334,"56","Female","Secondary School","Employed Part-Time",2.83333333333333,3,3,4,2,3,2,3,1,3,3,3,4,"Moderately certain can do",36,3,4,3,4,3,4,4,4,4,3,14,2,3,3,1,3,2,3,3,2,3,3.72727272727273,3,3,4,3,6,4,4,3,2,4,5,7,4,1
"314",335,"41","Male","Master's Degree","Employed Full-Time",1.16666666666667,2,1,1,1,1,1,1,1,1,1,1,2,"2",33,3,4,3,3,4,3,3,3,4,3,15,2,2,2,2,3,3,3,3,3,3,2.36363636363636,2,2,5,2,2,3,2,2,2,2,2,7,4,1
"315",336,"27","Male","Secondary School","Employed Part-Time",3.83333333333333,4,6,4,4,5,3,4,4,3,2,4,3,"5",19,2,2,3,2,2,1,2,1,3,1,13,1,1,3,3,4,1,2,3,2,2,5.45454545454545,5,5,6,5,7,6,6,6,5,4,5,7,4,1
"316",337,"41","Female","Ph.D. or higher","Employed Full-Time",5,4,5,5,5,5,4,6,6,5,5,6,4,"6",31,3,3,4,3,3,3,3,2,4,3,14,2,2,3,2,4,3,3,3,2,2,5.54545454545455,4,6,6,5,7,6,6,4,5,6,6,7,4,1
"317",338,"64","Male","Bachelor's Degree","Retired",5.83333333333333,7,7,6,7,7,4,6,4,4,4,7,7,"Highly certain can do",37,4,4,4,4,3,3,4,3,4,4,15,3,3,3,2,2,3,2,3,3,2,6.63636363636364,7,7,5,7,7,7,7,7,5,7,7,7,4,1
"318",339,"24","Male","Prefer not to say","Employed Full-Time",4.33333333333333,4,4,7,3,4,3,4,6,3,2,5,7,"Moderately certain can do",23,2,1,3,3,3,2,3,1,3,2,9,1,4,2,1,4,2,2,3,1,2,4.27272727272727,2,3,5,5,6,6,4,3,5,4,4,7,4,1
"319",340,"34","Female","Secondary School","Seeking opportunities",3.16666666666667,3,3,3,3,5,4,3,4,2,3,3,2,"3",21,2,2,3,2,2,2,2,2,2,2,8,2,2,2,1,1,2,1,3,1,1,4,5,3,4,4,6,3,3,4,4,4,4,7,4,1
"320",341,"20","Male","Secondary School","Employed Full-Time",4.25,4,6,5,3,6,5,3,4,2,3,6,4,"5",27,3,2,3,3,3,2,3,2,3,3,16,1,3,2,3,3,3,3,1,3,4,5,2,5,6,6,7,5,3,5,5,5,6,7,4,1
"321",342,"27","Female","Bachelor's Degree","Employed Full-Time",6.16666666666667,5,5,6,4,7,7,7,7,5,7,7,7,"Highly certain can do",37,4,4,4,4,4,4,4,1,4,4,18,4,2,2,4,2,4,2,3,2,4,6,3,6,7,7,7,7,6,7,4,7,5,7,4,1
"322",343,"39","Male","Bachelor's Degree","Employed Full-Time",4.83333333333333,4,7,7,6,6,3,6,5,2,1,4,7,"Highly certain can do",40,4,4,4,4,4,4,4,4,4,4,18,1,4,4,3,4,4,3,4,4,3,6.54545454545455,6,6,6,7,7,7,7,6,6,7,7,7,4,1
"323",344,"33","Female","Bachelor's Degree","Employed Full-Time",2.83333333333333,2,3,3,2,3,2,2,2,2,2,5,6,"2",24,2,1,3,3,3,2,3,2,3,2,10,1,3,1,1,4,2,1,1,3,3,3.54545454545455,1,2,3,5,6,5,3,3,3,5,3,7,4,1
"324",345,"32","Female","Trade School","Employed Full-Time",4.83333333333333,5,6,6,3,5,5,4,5,4,2,7,6,"Moderately certain can do",30,3,2,3,4,4,2,4,2,3,3,17,3,3,2,3,2,1,3,3,3,3,5.45454545454545,2,4,7,6,7,6,7,7,6,6,2,7,4,1
"325",346,"36","Female","Secondary School","Other:",4.5,5,5,5,4,5,4,5,3,3,5,4,6,"6",18,2,1,3,2,1,1,2,2,2,2,7,0,1,3,1,2,3,1,0,2,0,4.90909090909091,2,3,5,5,6,6,6,4,5,6,6,7,4,1
"326",347,"43","Male","Bachelor's Degree","Employed Part-Time",3.5,5,6,4,2,6,4,2,2,2,1,3,5,"6",14,1,1,2,1,1,1,2,3,1,1,0,0,1,0,0,2,2,0,1,0,0,5.90909090909091,6,6,6,7,7,7,5,4,4,6,7,7,4,1
"327",348,"38","Male","Secondary School","Prefer not to say",5,6,3,7,3,5,6,6,6,4,5,6,3,"Highly certain can do",34,3,4,4,4,2,4,4,1,4,4,21,4,3,3,3,4,4,3,4,4,4,6.72727272727273,7,7,6,7,7,7,6,7,6,7,7,7,4,1
"328",349,"33","Male","Trade School","Employed Full-Time",5.25,5,5,6,5,5,6,5,5,5,5,5,6,"5",31,3,3,3,3,4,2,3,2,4,4,19,3,4,4,3,2,2,3,3,3,3,6.27272727272727,6,7,4,6,7,7,6,6,7,6,7,7,4,1
"329",350,"22","Female","Bachelor's Degree","Student",2.41666666666667,2,5,3,2,2,2,2,2,2,3,2,2,"3",20,2,2,2,2,2,2,2,2,2,2,5,1,1,1,1,3,3,0,1,1,1,3.18181818181818,2,2,3,2,6,2,6,6,2,2,2,7,4,1
"330",351,"23","Female","Bachelor's Degree","Employed Full-Time",4.25,3,6,5,5,5,2,3,2,2,6,6,6,"6",24,2,3,2,3,3,2,2,2,3,2,7,1,3,1,1,3,3,1,1,1,2,3.81818181818182,1,1,2,6,6,2,6,5,5,6,2,7,4,1
"331",354,"20","Male","Secondary School","Student",3.91666666666667,6,4,4,1,4,5,3,5,1,4,6,4,"Highly certain can do",37,4,3,4,4,4,3,4,3,4,4,20,3,3,3,4,4,3,3,4,3,4,5.72727272727273,3,6,6,6,7,5,7,6,5,5,7,7,4,1
"332",356,"37","Female","Bachelor's Degree","Employed Part-Time",1.66666666666667,2,4,1,1,1,1,1,3,1,1,2,2,"Highly certain cannot do at all",21,2,2,3,2,2,2,2,2,2,2,6,1,1,1,1,3,3,1,1,1,1,3.54545454545455,2,2,4,5,5,4,3,5,3,5,1,7,4,1
"333",357,"32","Female","Secondary School","Employed Part-Time",4.5,4,6,6,4,4,5,5,3,2,6,4,5,"5",26,3,1,3,3,3,2,3,2,3,3,4,1,1,0,1,3,4,1,2,0,1,4.45454545454545,5,4,4,4,4,5,5,4,5,5,4,7,4,1
"334",358,"31","Female","Secondary School","Employed Part-Time",2.25,2,1,1,1,1,5,3,2,2,4,2,3,"2",28,3,2,3,3,3,2,3,3,3,3,11,1,0,1,2,3,1,2,2,2,3,4.36363636363636,2,4,4,5,5,4,4,6,4,5,5,7,4,1
"335",359,"58","Female","Secondary School","Other:",2.83333333333333,4,1,4,2,4,4,3,3,1,2,2,4,"Moderately certain can do",29,3,3,3,3,2,3,3,3,3,3,8,2,4,1,2,3,1,1,3,0,2,4.36363636363636,3,3,5,4,6,5,4,3,3,6,6,7,4,1
"336",360,"29","Male","Bachelor's Degree","Seeking opportunities",5.16666666666667,7,4,7,7,7,7,4,7,7,1,3,1,"Highly certain can do",22,1,1,3,3,1,1,4,2,2,4,17,4,1,2,4,4,4,0,4,3,4,6.18181818181818,7,4,7,7,7,7,6,7,7,7,2,7,4,1
"337",361,"27","Female","Trade School","Employed Full-Time",3.75,3,6,5,4,3,3,4,4,4,3,4,2,"5",31,4,3,3,3,3,3,3,3,3,3,12,2,2,2,3,3,3,3,3,1,1,4.27272727272727,5,2,3,6,6,5,3,5,5,5,2,7,4,1
"338",362,"30","Female","Secondary School","Other:",7,7,7,7,7,7,7,7,7,7,7,7,7,"Highly certain can do",40,4,4,4,4,4,4,4,4,4,4,23,3,1,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,4,1
"339",363,"18","Female","Prefer not to say","Prefer not to say",5,4,7,7,7,4,7,7,4,4,1,4,4,"Moderately certain can do",22,3,2,2,2,2,2,2,2,3,2,15,3,2,1,4,4,3,1,1,4,2,4.36363636363636,3,3,2,5,6,6,4,4,5,4,6,7,4,1
"340",364,"31","Female","Secondary School","Employed Full-Time",3.58333333333333,2,7,4,2,5,2,3,6,2,2,3,5,"Moderately certain can do",28,3,3,4,3,3,2,3,1,3,3,18,2,3,3,4,4,1,3,3,3,3,5.27272727272727,5,5,3,6,6,2,6,6,7,6,6,7,4,1
